,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
488,489,kcl,GN5,Greenwich - Trafalgar Road (Hoskins St),Hoskins Street,11,Greenwich,Roadside,538997.0,178006.0,51.4839072533485,0.0004073969358497,2017-10-12 01:00:00,,2024,2017,POINT (538997.0000417158 178006.00008343405)
161,162,kcl,GR8,Greenwich - Woolwich Flyover,Woolwich Flyover,11,Greenwich,Roadside,540200.0,178367.0,51.486884,0.017901,2004-07-08 01:00:00,,2024,2004,POINT (540200.0000420768 178367.00008354307)
47,48,kcl,WMD,Westminster - Elizabeth Bridge,"Elizabeth Bridge, St. James's, Victoria",33,Westminster,Roadside,528731.0,178664.0,51.4922482333024,-0.147114752900186,2020-04-27 01:00:00,,2024,2020,POINT (528731.0000386348 178664.00008363236)
517,518,kcl,WMA,Westminster - Buckingham Palace Road,146 Buckingham Palace Road,33,Westminster,Roadside,528709.0,178773.0,51.4932327916861,-0.147391757027028,2018-02-18,2020-04-27 11:00:00,2020,2018,POINT (528709.0000386281 178773.00008366548)
182,183,kcl,XL5,Heygate Intel 5,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
173,174,kcl,XL4,Heygate Intel 4,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
120,121,kcl,XL1,Heygate Intel 1,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
86,87,kcl,XL2,Heygate Intel 2,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
424,425,kcl,XL3,Heygate Intel 3,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
258,259,kcl,XL6,Heygate Intel 6,Walworth Rd,500,ERG Research,Urban Background,532101.0,178832.0,51.4929813788003,-0.0985378910481832,2015-04-13 01:00:00,,2024,2015,POINT (532101.0000396462 178832.00008368207)
348,349,kcl,SK6,Southwark - Elephant and Castle,Elephant and Castle,28,Southwark,Urban Background,531893.0,178846.0,51.4931557048667,-0.101527038274853,2013-01-23,,2024,2013,POINT (531893.0000395837 178846.00008368737)
404,405,kcl,GN0,Greenwich - A206 Burrage Grove,"A206, Burrage Grove",11,Greenwich,Roadside,544084.0,178881.0,51.490532,0.074003,2004-10-07 01:00:00,,2024,2004,POINT (544084.0000432425 178881.0000836975)
166,167,kcl,GV1,Westminster - Ebury Street (Grosvenor),"133 Ebury Street, Belgravia",33,Westminster,Roadside,528350.0,178921.0,51.493492,-0.149906,2018-12-11 09:00:00,2023-11-15,2023,2018,POINT (528350.0000385203 178921.00008370925)
143,144,kcl,WM2,Westminster Black Smoke (WESTMINSTER 17),Westminster,650,DEFRA Black Smoke,Urban Background,529802.0,178962.0,51.4946816299134,-0.131587057244986,1986-04-01 01:00:00,,2024,1986,POINT (529802.0000389562 178962.00008372136)
363,364,kcl,WM0,Westminster - Horseferry Road,Horseferry Road,33,Westminster,Urban Background,529802.0,178962.0,51.494681,-0.131938,2001-07-17 01:00:00,,2024,2001,POINT (529802.0000389562 178962.00008372136)
284,285,kcl,GN6,Greenwich - John Harrison Way,Greenwich John Harrison Way,11,Greenwich,Roadside,539687.0,179123.0,51.4937746695818,0.0107796237032558,2018-07-02 01:00:00,,2024,2018,POINT (539687.0000419228 179123.00008376944)
22,23,kcl,TL4,Greenwich - Tunnel Avenue,A102 Blackwall Tunnel Southern Approach,11,Greenwich,Roadside,539220.0,179250.0,51.495057,0.0041074676,2020-12-04,,2024,2020,POINT (539220.0000417827 179250.00008380844)
17,18,kcl,SKA,Southwark - Lower Road,Lower Road,28,Southwark,Roadside,535248.0,179313.0,51.4965604167321,-0.0530504472531612,2020-11-24,,2024,2020,POINT (535248.0000405905 179313.00008382637)
516,517,kcl,EI3,Ealing - Acton Vale ,"Acton Pumping Station entrance, junction of Canham Road and Warple Way",9,Ealing,Urban Background,521234.0,179771.0,51.5038527919816,-0.254668101620372,2017-11-23,,2024,2017,POINT (521234.0000363847 179771.0000839645)
6,7,kcl,SK8,Southwark - Tower Bridge Road,Tower Bridge Road,28,Southwark,Roadside,533488.0,179804.0,51.5013906712066,-0.0782034373606952,2019-06-01 01:00:00,,2024,2019,POINT (533488.0000400625 179804.00008397392)
